TITLE,BGG_URL,COMMENTS,LOCATION,BGG_ID,MINPLAYERS,MAXPLAYERS,THUMBNAIL,IMAGE,DESCRIPTION,YEAR,TYPE,BASEGAME
Ambush!,https://boardgamegeek.com/boardgame/1608/ambush,,R2,1608,1.0,1.0,https://cf.geekdo-images.com/thumb/img/eDqzsNJIY2XhZxrB5DPcLMtxw5o=/fit-in/200x150/pic265524.jpg,https://cf.geekdo-images.com/original/img/VETciKbFC8C9KH9Bwxwxsrxwv0E=/0x0/pic265524.jpg,"from the back of the box:Ambush! is the solitaire game of combat, adventure, and heroism in World War Two France. Using a ground-breaking development of the programmed paragraph solitaire system, Ambush! gives the player control of an American squad, faced with a variety of missions against an ever-changing, hidden German foe.  The variable events, innumerable tactical options, and wealth of unexpected occurrences make Ambush! a solitaire gaming experience unlike any that has gone before. The easily learned rules are specially designed to get the player into the action within minutes.  The player selects and arms his squad, providing each soldier with command and initiative ratings, perception, weapons skill, driving skill, and movement capability. After selecting one of the eight missions provided, the player sends his squad into a mission map to conduct operations called for in the mission.  Soldiers move freely, as far as the player wishes, checking for events each time they move...until the sequenced action rounds are triggered by the whine of German bullets!",1983.0,Game,
Ambush! Move Out!,https://boardgamegeek.com/boardgame/1606/ambush-move-out,Expansion for Ambush!,R2,1606,1.0,1.0,https://cf.geekdo-images.com/thumb/img/xoioG-FjrJDdg_cbeJlbVffZeN8=/fit-in/200x150/pic152920.jpg,https://cf.geekdo-images.com/original/img/t1Xkn97S4bP0T8NwQSHtt1YEfCQ=/0x0/pic152920.jpg,"Move Out! is the first expansion for Ambush!  It adds four new scenarios along with new weapons, vehicles, and enemies.  The scenarios are designed to be more difficult so that your veteran characters who have survived the 8 missions in the base game have more of a challenge.Contents:60 new Character/Vehicle Cards11 new Mission Cards 1 new Paragraph/Mission BookletExpands:    Ambush!",1984.0,Expansion,Ambush!
Android,https://boardgamegeek.com/boardgame/39339/android,,Games Locker 2 R2 Middle Box,39339,3.0,5.0,https://cf.geekdo-images.com/thumb/img/4lQt7qSdh-428poHEzK_lDuIIKM=/fit-in/200x150/pic400196.jpg,https://cf.geekdo-images.com/original/img/HFF0ANdy7FCHkMmfbsp5oWAvhd0=/0x0/pic400196.jpg,"From the publisher: Android is a board game of murder and conspiracy set in a dystopian future. Detectives travel between the city of New Angeles and moon colony Heinlein chasing down leads, calling in favors, and uncovering the sinister conspiracy beneath it all. The detectives must balance their pursuit of the murderer against their personal lives and their inner demons. Android’s innovative mechanics ensure that no two detectives play alike. Will you play as Louis Blaine, the crooked cop tormented by guilt and loss? Or will you take the role of Caprice Nisei, the psychic clone who struggles to retain her sanity while proving that she’s as human as anyone else? Whoever you choose to play, you’ve got just two weeks to solve the murder, uncover the conspiracy, and face your personal demons.During a round, the players get action points to spend on various actions, like moving their detectives, following leads that appear on locations, solving their personal demons, or doing a location-specific action. In this way, the detectives try to advance on three different sectors: solving the murder, uncovering the conspiracy behind the murder, and finding their inner peace. To solve the murder, the detectives follow leads that appear on New Angeles and Heinlein, and find evidence that they plant on the suspect of their choice. The conspiracy puzzle is also solved by following leads, and may alter the way victory points are distributed at the end of the game. Finally, each detective has his/her own personal plots that are resolved gradually throughout the game. If the detective invests enough time in the plot, he/she will be awarded victory points; otherwise, he will suffer penalties.The game ends when two in-game weeks (12 rounds) have passed. At that point, victory points are awarded based on the aforementioned sectors. The player with the most victory points is the winner.",2008.0,Game,
Asteroyds,https://boardgamegeek.com/boardgame/65200/asteroyds,,R2,65200,2.0,6.0,https://cf.geekdo-images.com/thumb/img/k5D4lEVIKzouO-4my8JmCrl01Cg=/fit-in/200x150/pic744492.jpg,https://cf.geekdo-images.com/original/img/xvixbajzPHpUjnxNu3uwLD8rZZY=/0x0/pic744492.jpg,"Asteroyds is a racing and pre-program game similar to RoboRally but with enough significant differences to make it stand out as its own design.Each player takes on the role of a famous Shuttle Racer Pilot and they have been drawn to a deadly event put on by a mega-rich entrepreneur that has recently bought the Ujitos system.The aim of Asteroyds is to navigate the highly dangerous asteroid field and pass through four gates. What sets the game apart from other games of this design is that almost everything in the race zone can move position, so the players need to plan with that in mind.So each round begins with the rolling of three dice; red, white and blue. These relate to coloured asteroids of the matching colour and each rock has a set of numbers from 1-6 printed on them. This gives every pilot the information they need to know where each object will most likely move to (the value rolled for each dice determines which direction the object moves in) using the hex based board.The trick is that some objects move a differing number of spaces and objects react differently when collisions occur, thus a player's best laid plans may not pan out due to mistakes.Mistakes introduces the other unique aspect of Asteroyds. The players only get a given amount of time to work out their best flight path and then plan their moves on their planning board. A minute is recommended and 30 seconds for experts. This real-time tension in the planning is tense and helps the game to stick to a good play length.Asteroyds also offers advanced rules such as shooting, special pilot powers and also varied play modes such as; Shooting, Targets and drones. Some of these allow for team play.",2010.0,Game,
Blockade Runner,https://boardgamegeek.com/boardgame/76207/blockade-runner,,R2,76207,2.0,6.0,https://cf.geekdo-images.com/thumb/img/Zr5P-mVduiU5hdNx4xoj-X4BV60=/fit-in/200x150/pic770050.jpg,https://cf.geekdo-images.com/original/img/l-cRMc6YLGMEFI4lXBV54rvsMAs=/0x0/pic770050.jpg,"Blockade Runner is a resource trading game in the Euro style, but with a dash of danger. In Blockade Runner, players take on the roles of entrepreneurs attempting to make the most money  by shipping cargo in and out of the South during the American Civil War. Positioning is achieved by competing with each other for access to commodities, top market prices, and newly built ships.  Hard decisions include whether to play safely to keep ships afloat or take potentially profitable risks.  The crux of the play is hinged upon whether to bring in vital war goods, which reduce the intensity of the growing blockade, or more profitable black market goods. This enables a potential for cooperation, but competition is the heart of the game. publisher blurb.",2010.0,Game,
Caravelas,https://boardgamegeek.com/boardgame/72131/caravelas,,Games Locker 2 R2 Middle Box,72131,2.0,4.0,https://cf.geekdo-images.com/thumb/img/ndyI2trAJ5i8Ad-u0qyRUazFZ4M=/fit-in/200x150/pic1031900.jpg,https://cf.geekdo-images.com/original/img/Vfuq2rQDl7gT2_3HQNdHLbD4rDM=/0x0/pic1031900.jpg,"The game theme is the Portuguese Discoveries in the 15th and 16th century, and their contribution to Portuguese wealth, symbolized in the Jerónimos Monastery. It is an historic fact that the spices trade, brought by the Caravelles, had to pay a tax of 5% in Lisbon, and this tax was used to pay for the monastery construction.The goal is to achieve the highest possible number of victory points (VPs). The game ends when the last piece of Jeronimos is bought by any player.The boardgame is the world map with 32 ports / destinations marked around the world (Americas, Africa, Asia and Indic Islands). In 8 of them you can collect the respective merchandise from that port. The board has also marked the real sea currents that the Caravelles followed at the time. It is surprising that often the fastest way is not the shortest, and the game reveals that perfectly.Each player has a card representing 3 ships, and indicating the player's ability to travel (translated into 9 navigation discs) and the cargo capacity (translated into 6 different merchandise spaces).The players place their wood ship piece in the board in Lisbon and start navigating. If they follow the sea currents marked in the board, they can do it ""free of charge"" and endlessly. But they wouldn't go very far. Every time a player wants to go in a different direction than the one indicated by the sea current, he has to use a navigation disc from his player card. When all the navigation discs are used, the player turn stops. So, in each turn, a player can go against the currents at most 9 times, thus determining how far he can go.During navigation, players arrive in ports. If they are the first to get there, that is, if they are the ones that discover that local, they can place their coloured marker in that port and register the number of VPs marked for that port. If the port is a ""trade port"" (there are 8), the player can also collect the respective merchandise and place it in his player card.But there are also some possible surprises. When navigate, players can pass by special marked cells which force them some kind of effect:- ""Event"" cells: for each round, players have 5 ""Event"" cards in their hand; when they pass over these cells, they must choose a card from their hand. These cards can be of 3 types: ""Storm Card"", ""Dead Calm Sea Cards"" and ""Good Wind Cards"", thus having negative or positive effects in their navigation. But they also have an effect on other players, but for these the effect is always positive. This creates interest during players downtime. - ""Pirate Cells"": when passing over these cells, players lose immediately 1 of their navigation discs. they can only enter the cell if they have the necessary disc available to pay.- ""Sinking Cells"": when passing over these cells, players must take their chance with a 50/50 dice - worse can happen is they lose 1 of the 3 ships they have (or 4 - see below), and the corresponding cargo space. They will only get it back when they arrive in Lisbon.After some time of navigation, of discovering new ports and collecting one each of the possible 6 merchandises that his player card can carry, the player returns to Lisbon.In Lisbon the player can:- trade merchandises per VPs (5 each)- specifically, the merchandise ""pepper"" can be traded for 1 piece of the Jeronimos Monastery which worths 10 VPs, which are immediately registered- the player can also trade 15 VPs for a 4th ship - this 4th ship gives him 3 more navigation discs (increasing it's navigation autonomy from 9 to 12) and 2 more merchandise space cargo.At the beginning of the game, each player receives a number of Objective Cards with specific Ports. If they are the first player to get to that port, they will receive 5 extra VPs per each at the end of the game. These VPs can be decisive in the victory decision.",2010.0,Game,
Combat Commander: Europe,https://boardgamegeek.com/boardgame/21050/combat-commander-europe,,R2,21050,2.0,2.0,https://cf.geekdo-images.com/thumb/img/2WoxhfwVS5PUytcSGEIUXdXx3CY=/fit-in/200x150/pic992459.jpg,https://cf.geekdo-images.com/original/img/RLXqwj5cZa-0GEHpi6a4nwQt898=/0x0/pic992459.jpg,"Combat Commander: Europe is a card-driven board game covering tactical infantry combat in the European Theater of World War II. One player takes the role of the Axis (Germany) while another player commands the Allies (America or Russia). These two players will take turns playing one or more “Fate” cards from their hands in order to activate his units on the mapboard for various military functions.Players attempt to achieve victory by moving their combat units across the game map to attack their opponent’s combat units and occupy as many objectives as possible. The degree to which a player succeeds or fails is measured by a scenario’s specific “Objective” chits, the destruction of enemy units, and the exiting of friendly units off the opponent’s board edge.A game of Combat Commander is divided into several measures of Game Time. There is no sequence of play to follow, however: each Time segment is divided into a variable number of Player Turns, each of which may consist of one or more Fate Card ""Orders"" conducted by the active player. Fate Card ""Actions"" may generally be conducted by either player at any time. ""Events"" — both good and bad — will occur at random intervals to add a bit of chaos and uncertainty to each player’s perfect plan.SCALE: Each hex of a Combat Commander map is roughly 100 feet of distance (about 30 meters). Each complete Player Phase abstractly represents several seconds of real time. Each complete measure of Game Time abstractly represents several minutes of real time.Each unit in the game is approximated as either a single Leader, a 5-man Team, or a 10-man Squad. Radios — and individual weapons larger than a pistol, rifle or BAR — are represented by their own counters.																				",2006.0,Game,
Combat Commander: Mediterranean,https://boardgamegeek.com/boardgameexpansion/24124/combat-commander-mediterranean,,R2,24124,2.0,2.0,https://cf.geekdo-images.com/thumb/img/jgJrkT5IhaCnWzzkVm0C2JgC3a8=/fit-in/200x150/pic257507.jpg,https://cf.geekdo-images.com/original/img/xFz0qiqskbn2arN5UR_U9EvI_jY=/0x0/pic257507.jpg,"(from GMT website:)Combat Commander: Volume II - Mediterranean (or CC:M) is the expansion to Combat Commander: Europe (""CC:E""). CC:M's main theme is the addition of three new ""nationalities"" to the Combat Commander family:      Britain & the Commonwealth      France & the Allied Minors      Italy & the Axis MinorsThis second module in the Combat Commander Series includes units, cards, and scenarios depicting the fighting forces of these nations.FATE CARDS: As for Germany, Russia and America in CC:E, each of the new nationalities has its own 72-card Fate Deck highlighting its historical strengths and weaknesses (marksmanship for the British, giving them fewer shots but of higher quality; a higher likelihood of surrender for broken Italian units; quality Orders, Actions and Events for the French but saddled with only a ""1"" discard capability; etc.).CC:M's Playbook will include the following:    12 new historical scenarios, each one including at least one of the three new nationalities.     An updated Random Scenario Generator incorporating the new nationalities and the twelve new maps, as well as allowing for the early years of fighting in 1939 and 1940. This random scenario system provides an almost unending variety of map configurations, force structures, and combat situations. Re-playability value for Combat Commander gets even better with this new addition to the family.     A complete manifest of all 432 Fate Cards included in CC:E and CC:M. Number crunchers rejoice!     Assigned Point Values for all units, weapons, radios and fortifications in CC:E and CC:M, allowing players to easily create their own scenarios and Orders of Battle.    Additional designer's notes and play hints.     And more...Combat Commander is one of those rare exceptional values in wargaming - one that can be revisited time and time again, each with a new tale to tell.NOTE: Combat Commander: Mediterranean is not a stand-alone game. You will need to own Combat Commander: Europe in order to play it.Components:    352x large counters (5/8"")     140x small counters (1/2"")     216x 2.5 x 3.5 cards     6x 2-sided 17 x 22 maps (twelve maps in total)     3x 2-sided player aid cards     1x 32-page Playbook    1x 24-page Rulebook  ",2007.0,Expansion,Combat Commander: Europe
Combat Commander: Pacific,https://boardgamegeek.com/boardgame/28181/combat-commander-pacific,,R2,28181,2.0,2.0,https://cf.geekdo-images.com/thumb/img/HdNUO6Ijwhu36idOiGxc-xCGNpw=/fit-in/200x150/pic411649.jpg,https://cf.geekdo-images.com/original/img/g-qknKVXGXwprgKPafoZXBm8-Y4=/0x0/pic411649.jpg,"Combat Commander:Pacific is a card-driven board game covering tactical infantry combat in the Pacific Theater of World War II. CC:P's main theme is the addition of three new factions to the Combat Commander family:    Imperial Japan    the Pacific US - with a strong emphasis on the US Marine Corps    the Pacific Commonwealth - focusing on Indian and ANZAC forcesCC:P is a stand alone game in the card-driven Combat Commander game series. While utilizing Combat Commander: Europe's basic rules, CC:P includes numerous rule tweaks and additions in order to more accurately portray tactical warfare as experienced by the participants in and around the Pacific and Indian Oceans. This slightly ramps up the complexity of the Combat Commander series while at the same time imparting a bit more depth and realism. Just a few of the additions include:Banzai attacks;BARs and Thompson SMGs;Beach landings & river crossings;Hidden movement;Caves;Scouts;Aircraft;Bayonets;Mortar spotting;Treetop snipers;Reconnoitering.SCALE: Each hex of a Combat Commander map is roughly 100 feet across (about 30 meters). Each complete Player Turn abstractly represents several seconds of real time. Each complete Game Turn abstractly represents several minutes of real time.UNITS: Due in part to the unique composition of late-war USMC squads and the imbedding of specialized weapon teams within IJA squads, the units in the game are represented by 4-6 man Teams and 8-13 man Squads. Radios — and individual weapons larger than a rifle — are represented by their own counters. Individual Aircraft are also represented with their own counters.VICTORY: Players attempt to achieve victory by moving their combat units across the game map to attack their opponent’s combat units and occupy as many objectives as possible. The degree to which a player succeeds or fails is measured by a scenario’s specific Objective chits, the destruction of enemy units, and the exiting of friendly units off the opponent’s board edge.GAME FLOW: A game of Combat Commander is divided into several Time segments. There is no sequence of play to follow, however: each Time segment is divided into a variable number of Player Turns, each of which may consist of one or more Fate Card ""Orders"" conducted by the active player. Fate Card ""Actions"" may generally be conducted by either player at any time. ""Events"" and die roll ""Triggers"" — both good and bad — will occur at random intervals to add a bit of chaos and uncertainty to each player’s perfect plan.CC:P includes twelve maps featuring terrain specific to the PTO.CC:P's playbook includes:    twelve scenarios.    Pacific version of the Random Scenario Generator utilizing the new maps and nationalities. This random scenario system provides an almost unending variety of map configurations, force structures, and combat situations.    section detailing the differences between CC:P and Combat Commander's first two volumes in order that players familiar with those earlier games can jump right into their first scenario with minimal rules reading.    examples of play.    Design & Development notes as well as numerous play hints.Components:     352x large counters (5/8"")      280x small counters (1/2"")      220x 2.5 x 3.5 cards      6x 2-sided 17 x 22 maps (twelve maps in total)     3x 2-sided 8.5 x 11 nation-specific player aid sheets      2x 1-sided 8.5 x 11 generic player aid sheets      1x 32-page Rulebook     1x 32-page Playbook     1x Track DisplayNOTE: Combat Commander:Pacific is a stand-alone game. You do NOT need to own any other Combat Commander game in order to play it, though familiarity with the system would be a plus.																				",2008.0,Game,
Combat Commander: Resistance!,https://boardgamegeek.com/boardgame/86957/combat-commander-resistance,completely new - Expansion for  Combat Commander: Europe and Combat Commander: Mediterranean,R2,86957,2.0,2.0,https://cf.geekdo-images.com/thumb/img/gYVFy8V9B03YXhiEKH-_yOF2uzI=/fit-in/200x150/pic1154576.jpg,https://cf.geekdo-images.com/original/img/1aKLtvJDypVbhwZnbV0kOJ09GFY=/0x0/pic1154576.jpg,"Combat Commander: Resistance! (or CC:R) expands upon Combat Commander: Europe and Combat Commander: Mediterranean by adding partisans and their war behind the front lines. This fourth volume of the Combat Commander wargame series features special rules and components for fighting with Partisan forces against the Axis nations of Europe.The new CC:R playbook covers the following:     Random Scenario Generator Update, including the Partisan Leader Table and Fortification OB     Definition of the Partisan Faction, its Unit Structure, Stats and Weapons     Rules for Irregular Melee, Sewers and Sighting Markers     New Orders: Infiltrate and Muster     New Actions: Knife, No Quarter and Trap     New Events: Inexperience, Patriotism and StealthIn addition to the new playbook, the game includes 3 back-printed game maps (6 maps total), 6 double-sided scenario sheets (12 scenarios total), one counter sheet (units and markers), a 36-card Partisan Fate Deck and a 19-card Partisan Force Deck. The new maps depict specific historical locations in Greece, Hercegovina, Eastern Bosnia, Byelorussia, Croatia and Western Bosnia.The scenarios included in CC:R are:      62 Bessarabian Nights II is a new version of Scenario 7 originally published in Combat Commander: Europe, set in a German rear area as Soviet forces press German forces back into the Carpathian Mountains, April 1944;      63 Praise the Lord and Pass the Ammunition set in Rouen France with FFI partisans moving quickly and elusively to attack elements of the German 2nd SS Panzer Division looking for a place to rest, 30 August 1944;      64 Predator Becomes Prey, set outside Leskovic, Albania, with ELAS partisans in a prepared ambush against elements of the German 1st Gebirgsjäger Division, whose commander suspecting a ruse changed his attack plans, 27 June 1943;     65 Road Trip set at Cressensac, southern France, with FFI partisan forces ambushing the German 4th SS Panzergrenadier Regimental HQ, 8 June 1944;     66 Those are not Birds set in the Bryansk Forest in Byelorussia, with Soviet partisans of the Orlov Regiment preparing a trap for elements of the German 707th Security Division during Operation Vogelsang, 8 June 1942;     67 The Orient Express set at the south end of the Gorgopotamos Bridge near Lamia, Greece, with ELAS partisans seeking to suppress the Italian Garrison while British Demolition commandos prepare to blow the bridge during Operation Harling, 25 November 1942;      68 Tito’s Trick set at Jablanica, Hercegovina, at the railroad bridge crossing of the Neretva River, with Partisans attempting to seize the bridgehead and destroy the Chetnik forces blocking the Partisan escape from German forces (during the 4th Enemy Offensive), 28 February 1943;     69 Compagnie Scamaroni II is a new version of Scenario 58 originally published in Combat Commander: Normandy, set at night in the Vaucelles neighborhood of Caen just before the Orne River,18 July 1944;     70 Appointment at Daliki set in a remote village south of Lepel, Byelorussia, with Soviet partisans of an important Operative Center suddenly trapped by a well-executed German rear-area clearing operation, 26 June 1943;     71 Valley of the Heroes set outside the village of Tjentište, Eastern Bosnia, at the Sutjeska River, where trapped Partisan units fought their way through a weak point in the German-Croatian lines, escaping once again although at great cost (during the 5th Enemy Offensive), 14 May 1943;     72 Thunderstorm set on the island of KorÄula on the Croatian Adriatic coast, with Partisans of the Dalmatian Brigade attempting to buy enough time for their comrades to evacuate from surrounding German units of the 118th Jäger Division (during the 6th Enemy Offensive), 23 December 1943; and     73 No Quarter set at the town cemetery outside Drvar, Western Bosnia, with Partisans of the Lika Division in a ferocious showdown with elements of the 500th SS Fallschirmjäger Battalion after a spectacular but failed attempt to seize Tito in his country HQ (during the 7th Enemy Offensive), 25 May 1944. NOTE: Combat Commander: Resistance! is not a complete game. It requires ownership of both Combat Commander: Europe and Combat Commander: Mediterranean to play. Developer -- Kai Jensen",2011.0,Expansion,Combat Commander: Europe AND Combat Commander: Mediterranean
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,https://boardgamegeek.com/boardgame/24800/conflict-heroes-awakening-bear-russia-1941-42,,R2,24800,1.0,4.0,https://cf.geekdo-images.com/thumb/img/eknVnjkMU_dV-2gyyLjrO08_9J8=/fit-in/200x150/pic2674714.jpg,https://cf.geekdo-images.com/original/img/R0hsnwr_A51guiKwKWCjKyCUjKw=/0x0/pic2674714.jpg,"Conflict of Heroes is a fast-paced tactical board game series that follows the development of modern day squad and platoon level tactics, starting with World War II and continuing all the way through modern day Bosnia, Iraq, and Afghanistan. The first game in the series, Awakening the Bear! – Russia 1941-1942, takes you to the eastern front during Operation Barbarossa, the German invasion of Russia. Many consider this time period to be the birth of modern warfare tactics that continue to be used and perfected by today's modern armies.Conflict of Heroes merges the elegance of streamlined Eurogame rules with deep strategic wargames. The series was designed to create a tense and highly interactive game play experience. You must manage multiple command resources to move, attack, and take other actions with your units. This gives you great flexibility in executing your battle plans, but makes constant caution necessary as unit activations on either side can happen at any time.Much effort went into distinguishing the units in the game by highlighting their historical strengths and weaknesses. For example, each tank defense rating takes into account relative armor thickness, armor slope deflection percentage, speed, size, targeting mechanics, and crew training. All these factors are represented in an easy to learn target number system.The included firefights, most of which you can play in about an hour, are designed to depict the pivotal points in a given battle. You can learn enough of the game to play the first scenario in ten minutes thanks to the programmed instruction approach used in the full-color rulebook.The game also features three- and four-player firefights and optional rules for solitaire play.",2008.0,Game,
